Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Lead,"Heyyy !
 Sorry for my super late response. 
 
 I like my apartment. It’s just the management that I’m not happy with. They really don’t communicate with residents well.",,,,,
Agent,Hey! No worries. I’m so sorry to hear that! It’s really unfortunate some offices don’t prioritize communication with their residents. Is there anything in particular you’ve experienced that you can let me know?,,,,,
Lead,"Sure ,
 Well my car was towed from the parking lot. When I inquired about it, I was told it was because I didn’t register correctly but they were not able or willing to tell me the correct way because they website you register on is ran by the towing company. 
 
 Now they are telling us we can’t have mats outside our door or ring cameras with no explanation. 
 
 We only have two working treadmills in the gym.",,,,,
Agent,Wow I’m so sorry. I’m going to share this with my team. Properties that start giving clients major issues we monitor and will stop sending people if the building isn’t caring for the residents well. Thanks for the feedback and if anything else arises don’t hesitate to let me know! In some cases I can reach out to their corporate management company to see what can be done,,,,,
Lead,Loved “Wow I’m so sorry. I’m going to share this with my …”,,,,,
Lead,"Okay, will do and thank you!",,,,,
Agent,"Loved “Okay, will do and thank you! ”",,,,,
Agent,Of course!,,,,,
Agent,"Hey Jyesha, it’s Ashanti. I just emailed your list
 
 Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽
 
 Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Agent,"Also you’ll be getting a $200 cash rebate or free move (your choice). 
 
 My new firm does that when you list me correctly as your referral when you tour and apply",,,,,
Lead,Thanks! I’ll be getting those to you soon.,,,,,
Agent,My pleasure! Sounds perfect,,,,,
Lead,"Hi, I like these two: Broadstone Amelia, Avasa Spring Branch",,,,,
Agent,"Hey, okay perfect. Does Saturday work best to tour or another day this week?",,,,,
Lead,I can do Saturday before I work at 1pm and Monday after 11am,,,,,
Agent,"Okay, I’ll let you know when they’re both scheduled",,,,,
Agent,…wanted to make sure you realized that Broadstone Amelia has no balconies,,,,,
Lead,"Oooh I didn’t notice. I’ll still like to tour tho. Also, I’ll add Filament at the Grid. Thank you !!",,,,,
Agent,"Loved “Oooh I didn’t notice. I’ll still like to tour tho. Also, I’ll add Filament at the Grid. Thank you !!”",,,,,
Agent,Got it!,,,,,
Agent,"Hey Jyesha, here’s your schedule for this Monday, Jan 13
 
 12 PM – Broadstone Amelia 
 1 PM – Avasa spring branch 
 2 PM – Filament at the grid
 
 Let me know if you have any questions!",,,,,
Lead,"Okay, Thank you !",,,,,
Agent,My pleasure!,,,,,
Agent,Good morning ☀️ Good luck touring today! If you have any questions or concerns along the way just call or text me,,,,,
Lead,Good morning ! Everything is going great so far.,,,,,
Agent,Loved “Good morning ! Everything is going great so far. ”,,,,,
Agent,Perfect! I’ll be here if you need me,,,,,
Agent,"Hey Jyesha, how did everything go yesterday?",,,,,
Agent,"Hey, quick follow up! Are we still searching or do you think we found the right one?",,,,,
Lead,"Heyyy Ashanti, sorry for my late response. 
 
 I enjoyed all the tours. I’m really like Filament at Grid because of their location and reduce rates. I may move forward with them not sure yet tho.",,,,,
Agent,"No worries. That’s great news! Let me know what you ultimately decide. Is there anything about Filament that’s got you hesitant, that I can try to look again to make sure your 100% sure about the decision?",,,,,
Agent,"Hey Jyesha, wanted to follow up as we go into the weekend to make sure you’re all good. Is there anything I can do or search for to reassure you of your apt choices?",,,,,
Lead,"Hey Ashanti 
 Hmmmm… I am a little curious to see what else else is in the Stanford area because I really like the area Filament at the Grid is in.",,,,,
Agent,"Hey Jyesha, Stafford area really doesn’t have much in terms of new apartments. 
 
 They have Filament at the Grid, Lenox at the grid, Arc at the grid, and 1879 at the grid. And they’re all within walking distance of each other. 
 
 Lenox and Filament are the newest of the four and Filament is best in my opinion. From the community to upkeep, staff, etc
 
 One newer property close though is Espria, you can check those out if you want, just lmk",,,,,
Agent,Esprialiving.com,,,,,
Agent,Hey good afternoon. Did you want to see Espria?,,,,,
Lead,"Sorry for the late response. Things have been so hectic with covering the winter storm. My car got broken into as well. 
 
 Yes, I want to see it. I’m available all day today and tomorrow.",,,,,
Agent,"No worries, I’m so sorry to hear that smh.",,,,,
Agent,I’ll get you scheduled now,,,,,
Agent,You’re scheduled for tomorrow at 12pm,,,,,
Lead,Okay perfect,,,,,
Agent,Morning! ☀️ let me know how it goes today. Call or text if you need anything,,,,,
Lead,"Heyy, everything went well. Just going to take the next day or two to weigh my options",,,,,
Agent,"Okay perfect, I’ll be here to answer any questions. And if you apply before we speak again, please look out for the referral section on the app",,,,,
Agent,"Hey Jyesha, just checking in making sure you’re still all good?",,,,,
Agent,"Hey Jyesha, checking in again. Are you all good? Any questions/concerns I can address?",,,,,
Agent,"Hey, are you all good?",,,,,
Lead,"Heyy Ashanti, everything’s good. I haven’t decided on which apartment yet. I plan too very soon .",,,,,
Agent,Okay sounds good. Are you torn between apts you’ve seen already or still thinking there are others out there you want to explore?,,,,,
Lead,The ones I’ve seen.I know for sure I want to be in the Stafford area so I’m stuck between filament at the grid and Espira.,,,,,
Agent,"Got it. Well if it helps at all, I’ve placed many people at Filament and they all love their experience so far. I haven’t placed anyone at Espria myself but a few of my team members have and said dealing with the office has been difficult when trying to advocate for their clients regarding different issues, one of them being mold in the apartment. If the race between the two is really close, I’d look for patterns in reviews. One off negative reviews don’t paint a picture but be careful of patterns. Patterns in reviews tend to have some truth to them. Just my input",,,,,
Lead,"Okay, thank you!! Definitely taking that into consideration",,,,,
Agent,Absolutely!,,,,,
Agent,"Hey Jyesha, wanted to check on you again. How’s it going with the decision making?",,,,,
Lead,"Heyy, thanks so much for your patience through out this whole process. It’s going good. I went back and looked at the original recommendations you sent me. I would like to look at 1879 at the Grid.",,,,,
Lead,And Lenox at the Grid,,,,,
Agent,"Hey, of course, that’s what I’m here for. When would you like me to schedule those for?",,,,,
Lead,Monday… I have to make a decision next week lol … running out of time ⌛️,,,,,
Agent,Lol got you. Time is definitely on us. I’ll schedule today 👌🏽,,,,,
Lead,Thank you!,,,,,
Agent,Of course!,,,,,
Agent,"Getting your tours set up. There’s a brand new building in the Galleria you may want to see called The Briarly. 1 bed/660 sqft is at the top of budget at $1496 + 1 month free. Let me know if you’d like to add it to Monday
 
 TheBriarly.com",,,,,
Lead,"Oooh yea, I’ll like to tour there too",,,,,
Agent,"Liked “Oooh yea, I’ll like to tour there too ”",,,,,
Agent,Got youu,,,,,
Agent,"Here’s your schedule for Monday:
 
 Monday, February 17
 10:15 AM – 1879 at the grid 
 11 AM – Lennox at the grid 
 12 PM – The Briarly
 
 I’m here if you need!",,,,,
Lead,"Okay, thanks!",,,,,
Agent,Don’t mention it!,,,,,
Agent,Good luck touring today! Let me know how everything goes,,,,,
Lead,Loved “Good luck touring today! Let me know how everythin…”,,,,,
Lead,Thank you and will do,,,,,
Agent,Loved “Thank you and will do ”,,,,,
Agent,"Hey Jyesha, checking up on you. What are your thoughts?",,,,,
Lead,Hey Ashanti! I went forward with Lenox at the Grid. I’m in the application process now.,,,,,
Agent,Sounds perfect! Let me know when they get back to you with a decision on your app. I’ll be here to help how I can!,,,,,
Lead,Thank youuuu!,,,,,
Agent,Loved “Thank youuuu! ”,,,,,
Agent,Of course!,,,,,
Lead,Hey Ashanti! Just wanted to let you know that I’m approved for Lenox at the Grid and I’m move in date it March 1st,,,,,
Agent,Loved “Hey Ashanti! Just wanted to let you know that I’m approved for Lenox at the Grid and I’m move in date it March 1st”,,,,,
Agent,"Hey Jyesha! That’s perfect, congratulations!!
 
 Whenever you get a chance please send over these details and I’ll initiate your $200 rebate!
 
 -Base rent amount 
 -Any special(s) you’ll be receiving 
 -Lease term
 -Unit number",,,,,
Lead,Will do! Thank you !,,,,,
Agent,Thanks! And thank you for working with me again! Talk to you soon,,,,,
Lead,Loved “Thanks! And thank you for working with me again! T…”,,,,,
Agent,Hey Jyesha! Can you send over that info when you get a chance 👆🏼I know you be busy lol,,,,,
Lead,"Yesss thank you for the reminder 
 
 Base Rent: $1475
 Specials: 6 weeks free 
 Lease term : 15 months 
 Unit number: 1268",,,,,
Agent,"Loved “Yesss thank you for the reminder 
 
 Base Rent: $1475
 Specials: 6 weeks free 
 Lease term : 15 months 
 Unit number: 1268”",,,,,
Agent,Of course. Thank you!,,,,,
Lead,"Heyyy Ashanti! Hope all is well, just wanted to check on the rebate.",,,,,
Agent,"Heyy Jyesha! Thanks, I hope the same. Sorry, I didn’t explain. Your rebate comes via Zelle when Lenox pays your invoice. That’s generally 60-90 days of move in so usually a nice surprise! You’ll be getting paid the same day as me!",,,,,
Lead,No worries ! Thank you!,,,,,
Agent,Loved “No worries ! Thank you! ”,,,,,
Agent,Pleasure is all mine!,,,,,
Lead,"Heyyy Ashanti, just double checking on the rebate.",,,,,
Agent,,IMG_4186.JPG,,,,
Agent,Hey Jyesha! Check your account around March 31. It might’ve snuck in there without you noticing,,,,,
,,,,,,
,,,,,,
,,,,,,
Lead,Hi! My name is Danielle I’m interested in the newly built apartments.,,,,,
Lead,I’m trying to move by August 1-15.,,,,,
Lead,(631) 332-9092,,,,,
Lead,,IMG_0716.jpeg,,,,
Agent,"Hi Danielle! Thanks for reaching out. These are in Conroe and don’t allow broken leases, bankruptcies, misdemeanors, or felonies. Is that all okay?",,,,,
Lead,Yes that’s fine.,,,,,
Agent,Okay great. Last tour for today is at 5pm. Pretty open for the rest of the week. What day works best for you?,,,,,
Lead,Can the two month be prorated into the rent?,,,,,
Lead,How much is the application and admin fee?,,,,,
Lead,It’s 1204 for a 2 bedroom 2 bath?,,,,,
Agent,"Yes, the 2 months free is credited to your account upon move in, so you can use it to prorate straight from your resident account. 
 
 Application: $50 per applicant
 Admin: $150
 
 Yes, the market rate for 2bed 2 bath unit is $1445. With the 2 month free special prorated you will be paying $1204 per month. Note, you’ll still need to qualify at the market rate of $1445 before the special is applied",,,,,
Agent,Best deal in Conroe hands down. Let me know what day works best for your tour!,,,,,
Lead,What would cause me not to qualify?,,,,,
Lead,Thank you so much for the through explanation.,,,,,
Agent,,Rental Requirements.PNG,,,,
Agent,These are the general qualifications… Any cause for concern with these? I’m happy to help!,,,,,
Lead,My credit score isn’t a 600 yet.,,,,,
Lead,My FICO isn’t.,,,,,
Agent,Are you currently renting? Or a first time renter?,,,,,
Lead,I’m currently renting now.,,,,,
Agent,"Okay, credit isn’t a make or break. Your full profile (income, rental history, credit, background) will be considered. About what is your credit score?",,,,,
Lead,My FICO is a 544,,,,,
Agent,"Okay, our only way to know approval is to apply. Many times if all is well besides maybe credit, you may be approved with conditions and have to pay a higher deposit.",,,,,
Lead,What’s the normal deposit?,,,,,
Lead,"Liked “Okay, our only way to know approval is to apply. M…”",,,,,
Agent,For 2 bedrooms it’s $250,,,,,
Lead,Oh ok not bad.,,,,,
Agent,Liked “Oh ok not bad. ”,,,,,
Agent,Would you like to schedule your tour?,,,,,
Lead,Let me see what day would be best for me first.,,,,,
Lead,I don’t want to have to reschedule.,,,,,
Agent,"Okay, just let me know",,,,,
Lead,Surething… Thank you so much!,,,,,
Agent,My pleasure!,,,,,
Lead,Happy 4th! What’s the name the apartments I need to fill my application please.,,,,,
Agent,Happy 4th! What is your full name and email address? I’ll need to send your guest card to the property before you submit an application to be listed as your referral,,,,,
Lead,"Danielle Dunbar 
 dannibe2005@yahoo.com",,,,,
Lead,Ok no problem….,,,,,
Lead,What’s the name of the property?,,,,,
Lead,I just want to check out the website then.,,,,,
Agent,"Thank you. The property name is Ariza Westview. You are welcome to apply, I have sent your guest card so you’re good to go.",,,,,
Agent,"When you come across the referral section that asks “who referred you?” Or “How did you hear about us?” 
 
 Please choose Locator/Realtor and list me (Ashanti with Nav Agency)",,,,,
Agent,"You’ll be getting a $200 cash rebate or free move (your choice) for doing that. 
 
 Please send me a quick update when you’ve submitted your app 👍🏼",,,,,
Lead,Liked “Thank you. The property name is Ariza Westview. Yo…”,,,,,
Lead,Awesome… Thank you so much! Have a safe night…,,,,,
Agent,My pleasure. Thanks a bunch! You as well,,,,,
Agent,"Ariza Westview just changed their special. It’s now 6 weeks free on 12+ month leases and 2 months free on 18+ month leases. 
 
 Did you have an idea of when you’ll be applying. I want you to submit before any other changes",,,,,
Lead,I was today but something came up unfortunately….,,,,,
Lead,Let me see what I can do.,,,,,
Agent,"Okay, please send me a quick heads up when you’re going to submit. I want to make sure you get the best deal they have available",,,,,
Lead,I’ll complete today. So what exactly changed?,,,,,
Lead,The months?,,,,,
Lead,Instead 12 months 2months free it’s 18 months 2 months free?,,,,,
Agent,"Okay, sounds good",,,,,
Agent,"Yes, correct",,,,,
Agent,At 12 months it’ll be 6 week free. At 18 months it’ll be 2 months free,,,,,
Lead,Gotcha… wow that’s a long term lease.,,,,,
Lead,And that’s on any two bed room apartment.,,,,,
Agent,Yes any 2 bedroom. With the 6 weeks free on a 12 month lease your base rent prorated amount would be $1264 per month so still a really great deal if you decided on 12 months instead of 18,,,,,
Lead,Gotcha yes both of them are good.,,,,,
Lead,Can we prorate one month and use one free month up front?,,,,,
Agent,I believe it is a credit that you get to your account so you can use the special however you like,,,,,
Lead,"Oh awesome, ok good.",,,,,
Lead,Do I need a link to gain access to the application?,,,,,
Agent,You’d just go right on the website to apply,,,,,
Lead,I don’t see it.,,,,,
Agent,Sorry just seeing this. Did you figure it out? If not I’ll send the link,,,,,
Lead,Yes I figured it out… Thank you so much!,,,,,
Agent,Perfect. My pleasure!,,,,,
Agent,Please keep me in the loop on your approval,,,,,
Lead,Ok will do!,,,,,
Agent,Loved “Ok will do! ”,,,,,
Agent,"Hey Danielle, just wanted to check in on your progress! Did Ariza Westview get back to you yet?",,,,,
Lead,Yes unfortunately it’s too far.,,,,,
Lead,You know of anything closer in?,,,,,
Agent,"Okay, that’s what I’m here for. Yes I know plenty. Ariza is the best price on a 2/2 hands down for a new construction but I can find what you’re looking for. 
 
 What’s the max budget you want to stay under?",,,,,
Lead,1400 a month,,,,,
Agent,What area are you looking to stay?,,,,,
Lead,"Spring, Humble, Champions, Cypress, Jersey Village, Fallbrook Richmond, Katy or Pearland.",,,,,
Agent,"Okay, and you need a 2/2 or is 1 bedroom okay?",,,,,
Lead,2/2 2/1 or 1 w/study,,,,,
Agent,"Okay got it. Some units in that price range will have income restrictions. Do you make between $39,180 - $52,240 annually?",,,,,
Lead,"No
 Problem… Yes I do.",,,,,
Agent,"Okay, will you be the only resident in the household?",,,,,
Lead,Me and my 5 year old son.,,,,,
Agent,"Okay, give me a little bit. I’ll send you some options",,,,,
Lead,"Ok, thank you so much!",,,,,
Lead,Question for you… Income based apartment have a waiting list?,,,,,
Agent,No not generally. Regular availability for the most part,,,,,
Lead,Oh ok… cool,,,,,
Lead,I’ve called a couple and there’s a waiting list.,,,,,
Lead,But that’s good.,,,,,
Agent,"Some may, but when I’ve seen waiting lists it’s generally on you to stay on top of the property. They only call if they go from 0% available to having a unit available and no prospects which isn’t too likely",,,,,
Lead,"Oh ok, I see…",,,,,
Agent,"Here are a few to check out that that will be under $1400 after specials
 
 Wyldewood Gosling - 2/2 | $1500 + 1 month free = $1384/mo self prorated 
 
 Avenue M - 2/2 | $1449
 
 Smart Living at Garden Oaks - 2/1 | $1480
 
 Everlee - 2/2 | $1366
 
 Eclipse - 2/2 | $1385
 
 Only one that’s out of the areas you mentioned is Everlee which is in Tomball",,,,,
Agent,"Some require me to escort you for credit plus a lot of the properties require your Locator to set up your appt - so please let me take care of all tour scheduling 👍🏽
 
 Let me know the top choices you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Lead,Ok sounds good…,,,,,
Lead,Awesome! Thank you…,,,,,
Lead,Liked “Here are a few to check out that that will be unde…”,,,,,
Agent,Absolutely! 😌,,,,,
Lead,Let me take a look…,,,,,
Agent,Liked “Let me take a look…”,,,,,
Agent,"Hey Danielle, which have you decided you want to see from your list?",,,,,
Lead,Hey I’m think I’m ready…,,,,,
Lead,Which apartments have the updated specials now?,,,,,
Agent,Have you looked at the options I sent you? Determining which you like we can see which are running the best specials,,,,,
Lead,Yes I have…,,,,,
Lead,Let me see it’s been a while…,,,,,
Agent,Are you still looking for 2 bedrooms under $1500 or are you open to 1 bedrooms as well?,,,,,
Lead,No…. 2 bedroom,,,,,
Lead,Or 1 bedroom w/ study…,,,,,
Agent,"Okay, and are you still looking to move in the next 2 weeks?",,,,,
Lead,Likely it just depends on the specials…,,,,,
Agent,Okay,,,,,
Lead,Liked “Okay”,,,,,
Lead,Good afternoon… We can see what updated specials these particular apartments has.,,,,,
Lead,,IMG_0917.heic,,,,
Lead,More gravitating towards the Everlee.,,,,,
Lead,Depending on the special…,,,,,
Agent,Good afternoon. Only Avenue M has a special which is 1 month free + only $99 app & admin and $0 deposit with approved credit,,,,,
Lead,Dang… I missed all the good stuff😳,,,,,
Agent,"I wouldn’t say that. Everlee and Smart Living garden oaks didn’t have specials even back when you were looking before. Everlee even went down to $1336, but only has one available. Two bedrooms in the $1300’s are extremely rare to begin with so it’s fortunate there’s something available at these properties",,,,,
Lead,Oh ok so Everlee has only one available now?,,,,,
Lead,Loved “Good afternoon. Only Avenue M has a special which …”,,,,,
Agent,"Yes, only one at that price. It’s available 8/31. Does that work?",,,,,
Lead,And no free months?,,,,,
Lead,"Loved “Yes, only one at that price. It’s available 8/31. …”",,,,,
Lead,It could…,,,,,
Agent,"Correct, no free months",,,,,
Lead,Avenue M can that one month free be prorated in?,,,,,
Lead,"Loved “Correct, no free months ”",,,,,
Agent,You will need to self prorate,,,,,
Lead,"Oh ok, gotcha…",,,,,
Lead,One more question and I’ll let you enjoy your Sunday☺️Thank you so much for answering my questions.,,,,,
Lead,So the Everlee… How do you feel about those apartments personally. Are they in a bad area?,,,,,
Agent,"Of course, I’m happy I can help. So legally I can’t tell you if an area is safe or not. I will say that I’ve visited and didn’t feel threatened. But of course before making a decision I’d encourage you to research the area and experience it for yourself",,,,,
Lead,"Loved “Of course, I’m happy I can help. So legally I can’…”",,,,,
Agent,"Hey Danielle, which apartment are you thinking you might go with?",,,,,
Lead,I’m still in limbo honestly😔,,,,,
Lead,Do they have anything in Sealy on Rosenberg within my price range?,,,,,
Lead,Katy*,,,,,
Lead,After this I’m going to make a decision I promise.,,,,,
Lead,"Good morning, do you have the exact floor plan of the everlee?",,,,,
Lead,My apologies for being a headache.,,,,,
Agent,,IMG_1007.PNG,,,,
Agent,"Good morning, sorry for the late reply. There won’t be any 2 bedrooms in price range in Katy. At Everlee the floorplan will be the B1.",,,,,
Agent,Please let me know before you decide to apply,,,,,
Lead,What about Rosenberg?,,,,,
Lead,Loved an image,,,,,
Lead,Liked “Please let me know before you decide to apply”,,,,,
Lead,What’s Everlee fees?,,,,,
Lead,Application and Admin Fee?,,,,,
Agent,"The closest will be Deseo at Grand Mission. 2 bed/2 bath for $1419, available Oct 17",,,,,
Agent,Application and Admin fees at Everlee are $60 application and $150 admin,,,,,
Lead,Liked “Application and Admin fees at Everlee are $60 appl…”,,,,,
Lead,Liked “The closest will be Deseo at Grand Mission. 2 bed/…”,,,,,
Agent,"Remember that you’ll be getting a $200 cash rebate or free move (your choice) so let me know before starting an application 
 
 The only way you can receive your moving gift is to make sure I’m listed correctly as your referral on the app👍🏼",,,,,
Lead,Loved “Remember that you’ll be getting a $200 cash rebate…”,,,,,
Lead,I love it!!!,,,,,
Lead,Everlee is so NICE!!!,,,,,
Agent,"Perfect, you went to see it?",,,,,
Lead,Yes I just visited but I couldn’t see the inside but the amenities is enough for me.,,,,,
Agent,"Okay great, are you ready to apply?",,,,,
Lead,I am…,,,,,
Lead,What are the requirements?,,,,,
Agent,,Rental Requirements.PNG,,,,
Agent,These will be the general requirements and will be individually based on your background,,,,,
Agent,"When applying you will see the question “How did you hear about us?” Or “Who referred you?” 
 
 Very important that you choose “Locator/Realtor”
 
 And you will need to add some of my info below and please take a screenshot of where you add my info. Here’s everything below 👍🏼
 
 Agency: AptAmigo
 Agent: Ashanti DePass",,,,,
Agent,Let me know if you have any questions,,,,,
Lead,Loved “When applying you will see the question “How did y…”,,,,,
Lead,Liked “Let me know if you have any questions”,,,,,
Agent,"Hey Danielle, making sure you’re all set with the app? Were you able to submit, no issues?",,,,,
Lead,I ran into a slight issue with my paycheck stubs.,,,,,
Lead,I’m trying to get that situated.,,,,,
Lead,I would need to submit that when I submit the application?,,,,,
Agent,"Okay, yes you will need to submit it together.",,,,,
Agent,I want to make sure you submit before any price changes though. How long will you need to postpone?,,,,,
Lead,Honestly I work but I’m trying to get some paychecks made. So I can make three times the rent.,,,,,
Lead,I can afford it but I receive help as well.,,,,,
Lead,Just being honest between me and you.,,,,,
Agent,What is your own gross monthly income?,,,,,
Lead,I don’t know right off the top of my head I’m working as we speak and I just started this job. 22 dollars an hour.,,,,,
Agent,40 hours a week?,,,,,
Lead,Yes,,,,,
Agent,"Okay, I definitely don’t recommend you alter paystubs. Apts use software now that spots those things easily and when they find it you’ll be banned from that property for good. 
 
 Whats the absolute latest you can move?",,,,,
Lead,I won’t alter them.,,,,,
Lead,"Loved “Okay, I definitely don’t recommend you alter payst…”",,,,,
Lead,Don’t worry I’ll take care it.,,,,,
Agent,Okay,,,,,
Agent,"Hey Danielle, keep me updated with everything so I know when to activate your $200 rebate or free move",,,,,
Lead,"Loved “Hey Danielle, keep me updated with everything so I…”",,,,,
Lead,Hey I will I’m working on some things over here but tell me about the free move in.,,,,,
Lead,I think that’s what I’m going to go with.,,,,,
Agent,"Okay, the free move is a free 2 hour move. Honestly, I’d recommend the $200 rebate because the move usually never turns out to be free. You’ll still need to pay a move deposit and you just don’t get the full value. The $200 rebate is cash sent via Zelle and paid out the same day I’m paid out.",,,,,
Lead,"Loved “Okay, the free move is a free 2 hour move. Honestl…”",,,,,
Lead,Gotcha…,,,,,
Agent,"Hey Danielle, checking in quick. Let me know how everything is moving along or if we’re still waiting",,,,,
Lead,Yes! I’m waiting on my documents then I’ll proceed with submitting everything. No later than Monday.,,,,,
Agent,"Sounds perfect! Keep me updated. And very important, please look out for the referral section on the application to add me as your locator. Thats how we can pay your $200 rebate",,,,,
Lead,Ok sounds good….,,,,,
Lead,How long is the application process?,,,,,
Lead,Do they use a thorough system?,,,,,
Agent,It can be a couple days to up to a week depending on what documents they need from you. I’m not sure the system they use for applications,,,,,
Lead,Loved “It can be a couple days to up to a week depending…”,,,,,
Lead,"Good morning, How do I go about filling out the application?",,,,,
Lead,Where?,,,,,
Lead,Found it thanks!,,,,,
Agent,Loved “Found it thanks!”,,,,,
Agent,"Good morning, I’ll be here if you have any questions",,,,,
Lead,"Loved “Good morning, I’ll be here if you have any questio…”",,,,,
Agent,"Hey Danielle, making sure you’re all good. Were you able to apply no issues?",,,,,
Lead,I’m applying tonite…. I’ve been working so much. Bu fasure tonite.,,,,,
Lead,I have everything I needed squared away…,,,,,
Lead,No specials for August?,,,,,
Agent,Okay. We never know specials. They add them and take them away without warning based on capacity,,,,,
Lead,Can you find out for me right quick I’m just curious to know I’m working at this very moment.,,,,,
Agent,Find out what?,,,,,
Lead,Any specials for August…,,,,,
Agent,Just spoke to them. They’re not unfortunately,,,,,
Lead,Dang…,,,,,
Lead,Ok,,,,,
Lead,Just wondering,,,,,
Agent,"Okay, I’m sorry. Keep me updated on your application",,,,,
Lead,No problem will do…,,,,,
Lead,Thank you for checking for me…,,,,,
Agent,Okay. Of course,,,,,
Lead,Ok I finally submitted it lol,,,,,
