Role,Message,Images/ Voice Messages/ etc,Channel,Event Marker,Date of message,Notes
Agent,"Good afternoon Tee! I added two more to your recommendation list. Both brand new. Here's a quick rundown below.

Alexan Cypress Creek – 860 ft.² with lots of windows. $1449 market price.

The Sylvan in the Woodlands – one bedroom townhome with attached garage is $1875 + one month free. One bedroom with attached garage is $1700 + one month free",,,,,Send more options (Human activity). Specific mention of apartment details is also a human activity
Lead,"Hey Ashanti!

Thanks for sending these over, they're very nice and meet a lot of my preferences. The only issue is there doesn't seem to be any street view. (this was the phrase I was looking for when I when we spoke about my private balcony preference) units available.

I'll have to check if there's some available for the other Apartments I starred in the portal I think having a street view or not will be a deciding factor

Also, the Cypress apartments may be too close to the areas. I'm trying to avoid if there's North Cypress like going toward tumble I'd be interested.

I went ahead and favored them anyway, but I want to be mindful of your time and gas mileage when we're touring them and they don't end up having an ideal unit for me.

What are your thoughts? Happy to hear them!",,,,,Lead asks for thoughts and opinion on specific apartment related details - should be escalated to a human.
Agent,"Okay! Street view, I see!

I see you didn't favorite cottage living. Some of those have fenced backyards. Any interest there?

And do you want the street or just to not be facing others?",,,,,Sharing thoughts and opinion on specific apartment related details -  human activity
Lead,"Yeah doesn't have to be straight. Just not facing others or typical gathering areas like the pool. Outside view is a better way to put it.

Not much interest in cottage living, but I did see Kingwood residences had a few units with an outside view.",,,,,
Agent,"Okay I got it, I'll run a final search today and see what all options we can set up for your visit!",,,Human needs to run a search,,
Lead,Sounds good thank you!,,,,,
Agent,Pleasure is mine!,,,,,
Agent,"One more already on your list is the terrorist at Pine Lake Cove. Looks like they'll have a wave facing Apartments and some unique floorplans with attached garages too.

And then oasis at Woodland, which isn't on your list. They have away facing apartments also with attached garages.

www.terracepinelake.com
www.oasiswoodland.com",,,,,Sharing thoughts and opinion on specific apartment related details -  human activity
Agent,Let me know your thoughts!,,,,,
Lead,Thanks for sharing these! Let's check out both.,,,,,
Lead,"So far Residences at Kingwood and these two are my top 3.

I like the areas, the loft style, and outside view for the most part. ",,,,,
,Absolutely! Okay perfect! What day will be most ideal for you to start touring when you arrive?,,,,,
Lead,Monday April 7th and Tuesday April 8th I'm completely free. The 9th - 11th there's some flexibility depending on the times.,,,,"March 28, 2025",
Agent,Okay got it! I'll get you scheduled and get back to you with your full schedule 👍🏼,,,Human needs to schedule tours,,
Lead,"Cool i'll be on the lookout for our tour schedule. 

Please don't hesitate to share any other listings you may come across in the meantime! 

Enjoy the rest of your weekend!",,,,,
Agent,"Okay! Thanks, same to you!",,,,,
Lead,"Good morning Ashanti! I hope you're well. 

There's been a change of plans and I won't be able to make it to Houston next week.

However I am still very much in the hunt for a new place and I appreciate all of your help so far and would like to continue our partnership. 

It's looking like the week of April 20th or April 27th is when I'll be in Houston. I'll know closer to then before I can confirm.

As for move in dates I'll be open to pushing it back to June or later as opposed to mid may. That should give us some time for touring and whatnot.

Let me know your thoughts. Happy to hop on a call to discuss the change in plans!",,,,"April 1, 2025",
Agent,"Good morning Tee! Okay, no problem I'll have tours cancelled. 

When you know what dates you'll be in town, just send me a quick update and I'll run another search and get everything coordinated!",,,Human needs to cancel tours,,
Lead,Sounds good thank you!,,,,,
Agent,Pleasure's all mine!,,,,,
Agent,"Hey Tee, checking up on you. Do you have the dates you'll be in Houston?",,,,"April 14, 2025",
Lead,"Hi Ashanti, thank you for checking in with me. Yes, I'll be available on May 8th, 9th, and 12th. Would any of these dates work for you?",,,,,
Agent,"Hey Tee, of course I'm happy to help. We can shoot to knock out all tours in a day. May 8th will work. So far we have these that you'd like to see, correct?

Residences at Kingwood
Terrace at Pine Lake Cove
Oasis at Woodland",,,,,
Lead,"Sounds good and yep that's correct. 

Did you by any chance come across any other listings that could be of interest? If so I'd be happy to check into them also.",,,Lead asking for other apartment options - should be escalated to human,,
Agent,"Perfect. You can take a look at Arbor Rose Porter. They have units with balcony facing a field brand new and one of the lowest priced.

arborroseatporter.com",,,,,
Lead,Great thanks. Let's add it to our list of tours for the 8th.,,,,,
Agent,"Sounds perfect, I'll follow up with our schedule a little closer to the date",,,,,
Lead,Sounds good I'll be on the lookout,,,,,
Agent,"Hey Tee, I'm just about to get tours scheduled for next week. The only recommendation I'd make that hasn't been mentioned is Imperial Oaks Square. Very private property surrounded by greenery. Let me know if you'd like to add them",,,,,Human activity - Looked for other options and presented them to lead
Lead,"Hey Ashanti, thanks for sharing this with me. Yes let's add it to our tours",,,,,
Agent,Of course. Okay perfect,,,,,
Agent,"Hey Tee, here is the full schedule for Thursday. Let me know if you have any questions!

Thursday, May 8
10 AM – The Terrace at Pine Lake Cove
11:30 AM – Oasis at Woodland
1 PM – Imperial Oaks Square
2 PM – Arbor Rose Porter
3 PM – Residences at Kingwood",,,,,
Lead,"Hey Ashanti, sounds good and thank you so much for putting all of this together.

Looking forward to the tours soon!",,,,,
Agent,Happy to help. Same here!,,,,,
Agent,"Hey Tee, just wanted to reach out and make sure you're set for tours tomorrow. Are you on schedule to be in Houston and have all of your transportation figured out for tours?",,,,,
Lead,Hi Ashanti. Yep all good to go for the tours. Looks like I'll be meeting you at the Terrace first right?,,,,,
Agent,"Sounds perfect. Yes, they will be first. Unfortunately I can only be on tour for our first two appointments but I'll be available via call/text throughout the day. I'll see you tomorrow morning, travel safely!",,,,,I promised lead I would tour with her. AI agent should not make those promises and should escalae to a human if unsure 
Lead,No problem and thanks I'll see you then,,,,,
Agent,Morning Tee. My ETA is 10:10am,,,,,
Lead,Good morning. Perfect I'll get there just before you. See you soon,,,,,
Lead,Just arrived and am inside speaking with someone,,,,,
Lead,"Hey Ashanti. Thanks again for arranging all of the tours today. 

I decided to go with Kingwood residences. It was one of the first ones you showed me and was an immediate favorite. 

I went ahead and applied not too long ago to secure the unit for an August move in. 

I appreciate your assistance with all of this. Are there any next steps on our end?",,,Lead has applied,,"Logic for when a Lead applies and I get credit: if I am present the whole way and schedule tours for them then I should get credit from the apartment. Ideally, I want the Lead to list me on the application as their referral. "
Agent,"Hey Tee, that's perfect! I'm glad we found the right one. 

No next steps, just please keep me in the loop and let me know when you've been approved. 

I'll still be here throughout to help in any way I can so any questions/concerns that you have, never hesitate to bring them my way!",,,,,Assume I will get credit without asking. We have text messages to prove I scheduled tours for lead and referred them to Kingwood Residences.
Agent,"Im curious, which floor plan did you go with?",,,,,
Lead,"Sounds good and will do! The A2.1 East, it's the loft floor plan",,,,,
Agent,"Niceee 👌🏼 . Perfect, successful day! Talk to you soon",,,,,
Lead,For sure!,,,,,
Lead,"Hey Ashanti, I've been approved for my unit!",,,Lead is approved,,
Agent,That's amazing!! Congratulations! I'm really happy we found the right one 🙌🏽,,,,,
Lead,Thank you! Yes same and thanks again for your help with this 🙏🏾,,,,,
Agent,Of course! And it was a pleasure to help,,,,,
Agent,"I’ll need a few details from you so we can invoice the property correctly. Would you please confirm the details below? 

Unit #
Base rent 
Any specials received 
Move date 
Lease term:",,,,"May 14, 2025",This info is needed from every lead after they have been approved
Agent,"Hey Tee, following up quickly on this info when you get a chance. Thanks in advance!",,,,"May 20, 2025",
Lead,"Sure np - 

- 20306 
- 1825 
- 8 weeks off 
- aug 4 
- 12 months",,,,,
Lead,I might've forgotten to press send I thought I shared this with you when you first asked. Let me know if there's anything else you may need,,,,,
Agent,No worries! Thank you,,,,,
,,,,,,
,,,,,,
Agent,"Hey Aziza, it’s Ashanti with Apt Amigo. Thanks for submitting your form! I’m happy to help you find your next apartment and share any post info from my social media. 

What areas/neighborhoods are you considering?",,,,,"Submitted form has Full name, phone number, email, budget, move date, and sometimes notes of lead. Therefore first message is sent with that context."
Lead,I’m looking for Woodlands and Spring,,,,,
Agent,"Got it, do you have a lease ending soon and need to move out by a specific date?",,,,,
Lead,"I don’t have a lease ending, but I would like to moving by April 5th",,,,,
Agent,I got your budget at $1200. Is that flexible at all or strict max?,,,,,
,Strict max,,,,,
Agent,"Got it, are there any requirements here that could possibly prevent you from being approved?",,,,,
Agent,https://docs.google.com/document/d/1aYe81pQDDpU7yHkrjVp4bzokCnSzDxEFSOjnGwws_7Q/edit?usp=sharing,,,,,Sent as a photo for lead to let us know if they are qualified based on general requirements to be approved
Lead,"My credit, but my husband will be co-signing for me",,,,,Bad credit (Under 600) is typically a disqualifyer but if someone has a cosigner we will still work with them.
Agent,"Okay, got it. I’ll send some options here in a bit and we’ll start getting you set up for tours!",,,,,
Agent,"Just emailed your list 

Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling 👍🏽

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,,,
Lead,"I would like to check out these 

1. Lively at cypress creek 
2. Magnolia at spring 
3. Royal spring",,,,,
Lead,"There’s also a apartment I have been looking, it’s called the Everlee in the woodlands",,,,,
Agent,"Okay, does Saturday work best for you to tour? I’ll schedule The Everlee as well",,,,,
Lead,Yeah I can do Saturday morning,,,,,
Agent,"Sounds great, I’ll follow up with your schedule when tours are confirmed 👍🏽",,,,,
Lead,Thank you 😊,,,,,
Agent,My pleasure!,,,,,
Agent,"Good afternoon, Aziza! Lively at Cypress Creek is closed on weekends =\ is there another day during the week that works for you?",,,,,We found out Lively at Cypress Creek is closed on weekends while scheduling tours - Humans schedule tours
Lead,"It’s okay ,we can cancel for that location",,,,,
Agent,Okay,,,,,
Agent,"Good morning Aziza ☀️ here is your tour schedule. Let me know if you have any questions or concerns and please reach out if I can be helpful at all! 

Saturday, March 29 
10:30 AM – Everlee 
11:15 AM – Magnolia at Spring 
12:15 PM – Royal Spring",,,,,
Lead,"Hello, is it possible to cancel the appointments? I just got called in for work unfortunately I won’t be able to tour any of the appointments this weekend",,,,,
Lead,But I can stop by after my shift is over,,"March 29, 2025",,,
Agent,"Okay, no problem. Would you like to reschedule for another day or stop in after your shift",,"March 29, 2025",,,
Agent,"Hey Aziza, are you all set with rescheduling?",,"March 30, 2025",,,
Agent,"Good afternoon Aziza, reaching out to see how I can be helpful. Would you like to reschedule tours for this weekend?",,"April 3, 2025",,,
Agent,"Hey Aziza, are we still considering Everlee, Magnolia, and Royal Spring?",,,,,
Agent,"Hi Aziz, are you all set? Is there anything I can do to be helpful?",,,,,
Lead,"Oh I’m so sorry, I forgot to update you. I choose the spring cypress apartment. I also referred you as my apartment locator on the application. Thank you for assisting me 🙏🏾🙏🏾🙏🏾 when my lease is up I’ll definitely come back",,,,,
Agent,No worries! I’m happy you made it happen. And the pleasure was all mine! What’s the apartment name though?,,,,,Needed clarification on which apartment she chose
Agent,"Good morning Aziza, what is the name of the apartment you went with?",,,,,
Lead,Royal spring,,,,,
Agent,"Thanks! Can you share these few details from your lease, that’s all my company will need for your apartment to take care of me

- base rent amount 
- any specials received 
- lease term 
- unit number 
- move in date",,,,,Will ask for this info a few times and spread out each follow up ask at least 6 days apart. If client wont give it we should escalate to a human 
Agent,"Hey Aziza, following up quickly on this info so we can invoice Royal Spring. Kindly send over when you get a
chance 🙏🏼 Thanks!",,,,,
Lead,"Base rent is $1,230 
Specials received: $1000 off on 2 months rent 
Lease term: 14 months 
Unit : #635 
Move in : April 4th",,,Received lease info necessary.,,
Agent,Thanks!,,,,,
,,,,,,
,,,,,,
Agent,"Hey Daniella, it’s Ashanti with Apt Amigo. Thanks for submitting your form. I’m happy to help you find your next apartment! 

What areas/neighborhoods are you considering?",,,,,
Lead,Heyyy so I have like 2 areas I’d like to look. I currently live in Dallas so when I go down there in a few weeks I’d like to have 2-3 to tour in each area if possible.,,,,,
Lead,*Lead sent screen shot of locations shes interested in,,,,,Lead sent screen shot of areas of interest
Agent,Okay understood on location. Are you torn between more the inner-city and outskirts? Or locations you're trying to be between for a convenient commute? Hence the different areas of the city,,,,,Asked because locations she circles in screen shot were far apart
Lead,Well my partner lives in Pasadena. I kind of want the city view/ life and she wants the other nice area were it’s not as busy so that’s why for the bubbles lol,,,,,
Agent,Okay cool! Got it lol no worries. I got your budget at $2k for a 1 bedroom. Is that accurate? And is there any flexibility on price or is that absolute max?,,,,,
Lead,2k is absolute max I would say. I would like a den or study with the 1 bedroom. Dog friendly as well,,,,,
Agent,"Got you. I'll send you some options in a bit. Are there any requirements here that could possibly prevent either of you from being approved?

https://docs.google.com/document/d/1aYe81pQDDpU7yHkrjVp4bzokCnSzDxEFSOjnGwws_7Q/edit?usp=sharing",,,,,Doc is sent as a photo for lead to let us know if they are qualified based on general requirements to be approved
Lead,"No, all good there",,,,,
Agent,"Sounds perfect, give me a bit I'll let you know when I've sent off the email 👌🏼",,,Time to send apartment list,,Time to send apartment list - Escalate to human for list sending
Agent,"Just emailed your list 

Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling! 

Let me know the top 3-5 you want to tour ideally in the next 24-48 hours and I’ll set them up!",,,Apartment List Sent,,
Lead,Okay I will take a look thank you so much!,,,,,
Agent,"Pleasure is all mine! Just a heads up they’re either one
bed with den or study area or 2 bedrooms ",,,,,
Lead,"Dakota Deer Park 
Ivy lofts 
Standard on the river
1810 main 
Hawthorne Fairmont
500 Crawford ",,,Received favorites,,
Lead,Those are the apartments we liked. I added 2 that weren’t in the list if we could see those as well.,,,More that lead wants to tour,,
Agent,Sounds perfect! Just let me know when you plan to visit from Dallas and I'll have your tours coordinated for you,,,,,Lead comming from out of town so tours arent scheduled immediately. 
Lead,Okay sounds good. So you’ll see the tours up and everything.,,,,,
Agent,Yes I’ll set all your tours up for you and coordinate them by most convenient driving route,,,,,
Lead,Okay perfect sounds good. I think I’ll be shooting for May 5th most likely give me a few days and I’ll confirm it with you next week,,,,"April 11, 2025",Waiting for lead to let us know when she will visit to tour. Give space but follow up logically if we dont hear back. Would have folowed up around last week of April if I didnt hear back.
Agent,"Okay sounds perfect, I’ll wait on your word!",,,,,
Lead,Heyyy I booked my trip to head out there May 18th and 19th.,,,Recieved tour dates,"April 21, 2025",
Agent,Hey Daniella! Okay perfect. I’ll send a final list a little closer to the date and get you all scheduled for you to have your full touring schedule before you arrive ,,,,"April 21, 2025",Tour is not immediate - It's in about a month so will update her options closer to the date so she sees the best most updated options she has to tour. Apartment availability change on a regular basis so it will be different in a month
Agent,Hey Daniella! Wanted to make sure all is the same and you’ll be visiting Houston May 18th and 19th for tours?,,,,"May 6, 2025",Want to get the Okay before I send more options 
Agent,"Good afternoon Daniella, just wanted to confirm that you’ll headed out here in a few days so I can send your updated list with your best options. Let me know, I hope everything is well!",,,,"May 13, 2025",
Agent,"Hey Daniella, have plans changed?",,,,"May 15, 2025",
Lead,Heyyy I’m sorry I came to town last minute plan on look at 2 apartments do I put your name down that I heard about them from you,,,,"May 24, 2025",
Agent,"Hey Daniella, no worries. And yes please. Most importantly when you apply. Which apartments do you plan to see?",,,,,
Lead,Hawthorne at Crenshaw and Hawthorne at Fairmont.,,,,,
Lead,We looked at 500 Crawford and EADO loved them. And looked at 1810 Main didn’t like them at all.,,,,,
Agent,"Okay sounds good. I’ll send your guest card for your remaining tours. And if there’s anything at all that I can do to help definitely let me know. Is the criteria you’re looking for the same as before, a 1 bed + den with absolute max of $2k?",,,,,"""Guest card"" is an email sending the leads info to an apartment. Basically lets the apartment know you are referring them"
Lead,Yes I did prefer a den but I looked at the hawthorn Fairmont and absolutely love the 1 bedroom they showed. I think it may be the one I apply for.,,,,,Says she will apply
Agent,Okay that’s amazing! I’ll be here to help if you have any questions while filling out your application,,,,,
Agent,Please be on the lookout for the referral section of the app. That’s the only way the apt can take care of me and allows me to step in on your behalf during the approval process so if you get to the end without seeing anything please reach out before submitting ,,,,,
Lead,Okay will do. Planning on applying for them tomorrow.,,,,,
Lead,Also I have someone interested in getting help with an apartment can I send them your info?,,,,,
Agent,"Okay sounds perfect. And yes of course! Send them over, I’d be happy to help",,,,,
Lead,Sounds good I just sent it over.,,,,,
Agent,Thanks for the referral,,,,,
Agent,"Hey Daniella, I'm hoping everything went smooth with your application. Did you end up going with Hawthorn Fairmont?",,,,,
Lead,Yes I did,,,She applied. Context sounds like its possible she was approved,,
Agent,"Perfect, I'm glad everything worked out! They actually require me to either be on tour or provide you with a virtual tour to receive credit so I'll be going out to get video for you. What floor plan did you and your partner go with so I can get some pictures and video to send to you?",,,,,
Lead,Okay sounds good. We went with the La Porte plan.,,,,,
Agent,Thanks! I'll be there tomorrow as soon as they open. Let me know if you have any special requests for video and if you want all amenities as well and I'll be sure to get it,,,,,I ended up getting lease info from the apartment so there was no need to ask for it from the lead
Lead,Thanks! ,,,,,
Agent,Pleasure has been all mine! Thank you for working with me ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Agent,"Okay perfect! I just emailed your list. Some require me to escort you to get credit + a lot of the properties require your Locator to set up your appt - so please let me take care of all scheduling!

I added options slightly over $1600 so you see everything. Many are running specials that will still bring monthly base rent price under $1600.

Let me know the top 3–5 you want to tour ideally in the next 24–48 hours and I’ll set them up!",,,List sent ,,We had a previous conversation so I qualified and had all I needed to send a list
Lead,Okay I got it! I just forwarded the email to my friend as well and I’ll get back with you asap to let you know which ones we want to tour. Thank you so much for your help!,,,,,
Agent,Sounds perfect! Pleasure is all mine!,,,,,
Lead,"Hi Ashanti! So we narrowed it down to 5 options from the list: Grove East, San Palmas, Evolve Champions, Domain on the Parkway, Meridian City Park. We will be free the 24th–26th.",,,Received favorites and dates to tour,,
Agent,"Hey Daniella! Okay sounds perfect, I’ll get you guys scheduled and get back to you with your full schedule! Are you traveling the 24th and arrive at a certain time?",,,,,Verifying time they can start touring
Lead,"No, we will arrive the Wednesday morning before the 24th.",,,Know when they can start touring - Time to schedule tours,,
Agent,"Okay, tours will begin Thursday at 10 AM. Still getting confirmation from 2 buildings. I’ll get back to you today with the full schedule.",,,,,
Lead,"Hi! And sounds good — I’m not sure if you saw but I rescheduled the Grove East one to 12 PM if that’s ok? If we can’t fit all 5 into the time we’re there it’s okay! Our top 3 would be Grove East, San Palmas, and Evolve Champions.",,,,,
Agent,"Okay, got it no problem. So far we have...

Grove East - 12 PM (Thu)
San Palmas - 2 PM (Thu) 
Meridian City Park - 10 AM (Fri)

I’ll prioritize getting Evolve Champions scheduled and let you know when all set!",,,,,Only human knows these tour details at this point
Lead,Okay perfect thank you so much! Those 4 will be good.,,,,,
Agent,Happy to help! Sounds perfect.,,,,,
Agent,Morning! Still working on Evolve Champions — they’ve been tough to get ahold of. I’ll follow up today when we get in touch!,,,,,
Agent,"Hey Daniella! Here’s your full schedule. 

Thursday, April 24: 
12 PM – Grove East 
2 PM – San Palmas 
3:30 PM – Evolve Champions. 

Friday, April 25: 
10 AM – Meridian City Park

Safe traveling today!",,,Full tour scedule send off,,
Agent,Good morning ☀️ Good luck touring today! I’ll be here to help any way I can — call/text if you need. Can’t wait to hear how everything goes!,,,,,
Lead,Okay thank you so much for your help!,,,,,
Agent,Don’t mention it!,,,,,
Lead,Hi Ashanti! I forgot to text you and let you know how it went. We toured all 3 places and I think San Palmas was our favorite. I’ll let you know how we like Meridian City Park.,,,,,
Agent,"Sounds perfect! Sorry for the delay, I’ve been flying today. Let me know what you thought of Meridian when you get a chance!",,,,,
Agent,Hey Daniella! What are your thoughts on all you’ve seen? Is San Palmas looking like the one?,,,,,
Lead,Hi Ashanti! I think Meridian City Park is going to be the one — we love the location and that the rooms are pretty equal.,,,Lightly hint at applying to Meridian City Park,,
Agent,Niceee! That’s great! Please be on the lookout for the Locator referral on the application — that’s how the building credits me. I’ll be here if you need anything at all!,,,,"April 26, 2025",
Lead,"Okay, I will be sure to do that. Thank you!",,,,,
Agent,Thank you! Pleasure is all mine!,,,,,
Agent,Hey Daniella! Making sure you’re all good for now. Were you able to apply with no problems?,,,,"April 29, 2025",
Agent,"Hi Daniella, just letting you know I’m still here. If I can help in any way, just let me know!",,,,"May 2, 2025",
Agent,Good morning! Making sure you guys are all set?,,,,"May 5, 2025",
Lead,Good morning! Yes we’re in contact with the lady from Meridian. We told her July/August so we’re going to keep you updated on what we decide!,,,,"May 5, 2025",
Agent,"Got it! Sounds perfect. If there’s anything at all that I can do to be helpful, please let me know!",,,,,
Agent,"Hey Daniella, making sure you’re all good for now. Meridian has a 2-bed available July 19th — wanted you to know!",,,,May 13,Specific apartment info - Human only knows
Agent,"Hey Daniella, are you guys still weighing your choices? Can I help with searching for other options?",,,,May 21,
Agent,Good afternoon Daniella! I wanted to make sure you guys are all set with your apartment search. Are you still weighing your options?,,,,June 1,
Agent,Yes we are all set! We put in the application for Meridian City Park today.,,,Pending Application,,
Agent,Nicee! Glad to hear we found the right one! I’ll help ensure a smooth transition into your lease. I’ll be checking on you to make sure all goes well with your application.,,,,,
Lead,Sounds good thank you!,,,,,
Agent,Pleasure is all mine!,,,,,
Agent,Hey Daniella! Wanted to make sure you guys are all good. Has Meridian sent you final approval yet?,,,,,
Lead,"Hi Ashanti! Yes, we got approved!",,,Approved,,
Agent,Amazing!! Congratulations!! Do you have any questions for me or the leasing office leading up to move-in?,,,,,
Lead,"Thank you so much! We are so excited, and as of right now I think we’re okay, but if anything comes up I’ll definitely let you know!",,,,,
Agent,"Absolutely! I’m excited for you guys too! Please do let me know if you think of anything. I’ll need a few lease details to make sure the building takes care of me and my company If you can send these when you get a chance 🙏🏼

move date 
base rent
any specials
lease term
unit #.",,,,,Need this info everytime. Need building name too but that has already been provided
Lead,Got it — I’ll send that to you as soon as I can!,,,,,
