id,thread_id,turn_id,lead,target_agent,prediction,cosine,rougeL,action_match,entity,style,total
32cf8d4439430fa2,0,21,"Hi, I like these two: Broadstone Amelia, Avasa Spring Branch","Hey, okay perfect. Does Saturday work best to tour or another day this week?",Got it! Great choices. When would you like to schedule tours for Broadstone Amelia and Avasa Spring Branch? I can help set that up.,0.0546,0.0526,0.0,0.0,0.8571,0.1511
98d199e815c042c2,0,22,I can do Saturday before I work at 1pm and Monday after 11am,"Okay, I’ll let you know when they’re both scheduled   …wanted to make sure you realized that Broadstone Amelia has no balconies",Great! How about we schedule Broadstone Amelia for Saturday at 11am and Avasa Spring Branch for Monday at 1pm? Does that work for you?,0.1861,0.0851,1.0,0.0,0.5714,0.3636
3d77ca54d42d4a68,0,23,"Oooh I didn’t notice. I’ll still like to tour tho. Also, I’ll add Filament at the Grid. Thank you !!","Got it!   Hey Jyesha, here’s your schedule for this Monday, Jan 13    12 PM – Broadstone Amelia   1 PM – Avasa spring branch   2 PM – Filament at the grid    Let me know if you have any questions!","Got it! I’ll schedule tours for Broadstone Amelia, Avasa Spring Branch, and Filament at the Grid. How does Saturday at 1pm sound for all three?",0.4551,0.4194,1.0,0.0,0.8571,0.5508
7d46c5ce012d723e,0,24,"Okay, Thank you !",My pleasure!   Good morning ☀️ Good luck touring today! If you have any questions or concerns along the way just call or text me,You're welcome! Looking forward to hearing how the tours go. Let me know if you need anything else!,0.2057,0.1429,1.0,0.0,0.8571,0.422
ab171ad3ae016bc6,0,25,Good morning ! Everything is going great so far.,"Perfect! I’ll be here if you need me   Hey Jyesha, how did everything go yesterday?   Hey, quick follow up! Are we still searching or do you think we found the right one?","Got it, that’s great to hear! Did any of the places stand out to you?",0.1414,0.0816,0.0,0.0,1.0,0.2117
b9229d8695a7a46d,0,26,"Heyyy Ashanti, sorry for my late response.     I enjoyed all the tours. I’m really like Filament at Grid because of their location and reduce rates. I may move forward with them not sure yet tho.","No worries. That’s great news! Let me know what you ultimately decide. Is there anything about Filament that’s got you hesitant, that I can try to look again to make sure your 100% sure about the decision?   Hey Jyesha, wanted to follow up as we go into the weekend to make sure you’re all good. Is there anything I can do or search for to reassure you of your apt choices?",No worries at all! I'm glad to hear you liked Filament at the Grid. Do you want me to help with the application process or any questions about it?,0.3233,0.1538,0.0,0.0,0.7143,0.2434
1be8d26afef915a6,0,27,Hey Ashanti   Hmmmm… I am a little curious to see what else else is in the Stanford area because I really like the area Filament at the Grid is in.,"Hey Jyesha, Stafford area really doesn’t have much in terms of new apartments.     They have Filament at the Grid, Lenox at the grid, Arc at the grid, and 1879 at the grid. And they’re all within walking distance of each other.     Lenox and Filament are the newest of the four and Filament is best in my opinion. From the community to upkeep, staff, etc    One newer property close though is Espria, you can check those out if you want, just lmk   Esprialiving.com   Hey good afternoon. Did you want to see Espria?",Got it! I can look for more options in the Stanford area for you. Do you have a budget or any specific must-haves in mind?,0.1564,0.0667,1.0,0.0,0.8571,0.3933
ff57363e634a2cd2,0,28,"Sorry for the late response. Things have been so hectic with covering the winter storm. My car got broken into as well.     Yes, I want to see it. I’m available all day today and tomorrow.","No worries, I’m so sorry to hear that smh.   I’ll get you scheduled now   You’re scheduled for tomorrow at 12pm",I’m so sorry to hear that. I hope everything is okay now. Let’s get you set up for a tour at Espria. How does 1pm sound today?,0.5071,0.4615,1.0,0.0,0.8571,0.5753
1e270ce72d6098ae,0,29,Okay perfect,Morning! ☀️ let me know how it goes today. Call or text if you need anything,Great! I'll send you a reminder before your tour. Let me know if you have any questions in the meantime.,0.2887,0.2778,1.0,0.0,0.7143,0.4498
4847537fd1b382a6,0,30,"Heyy, everything went well. Just going to take the next day or two to weigh my options","Okay perfect, I’ll be here to answer any questions. And if you apply before we speak again, please look out for the referral section on the app   Hey Jyesha, just checking in making sure you’re still all good?   Hey Jyesha, checking in again. Are you all good? Any questions/concerns I can address?   Hey, are you all good?","Got it, sounds good! Let me know if you have any questions or need more info on the options.",0.2478,0.1013,0.0,0.0,1.0,0.2519
17f792171e6ac020,0,31,"Heyy Ashanti, everything’s good. I haven’t decided on which apartment yet. I plan too very soon .",Okay sounds good. Are you torn between apts you’ve seen already or still thinking there are others out there you want to explore?,"Got it, thanks for the update! Let me know if you need more options or have any questions as you weigh your choices.",0.0953,0.1277,1.0,0.0,1.0,0.4025
4eff001bce3dea7d,0,32,The ones I’ve seen.I know for sure I want to be in the Stafford area so I’m stuck between filament at the grid and Espira.,"Got it. Well if it helps at all, I’ve placed many people at Filament and they all love their experience so far. I haven’t placed anyone at Espria myself but a few of my team members have and said dealing with the office has been difficult when trying to advocate for their clients regarding different issues, one of them being mold in the apartment. If the race between the two is really close, I’d look for patterns in reviews. One off negative reviews don’t paint a picture but be careful of patterns. Patterns in reviews tend to have some truth to them. Just my input",Got it! Both are great options in Stafford. What’s holding you back from making a decision between Filament and Espira?,0.173,0.0615,1.0,0.0,0.8571,0.3983
e52f69125e3c805c,0,33,"Okay, thank you!! Definitely taking that into consideration","Absolutely!   Hey Jyesha, wanted to check on you again. How’s it going with the decision making?","Absolutely, happy to help! Let me know if you have any other questions or need more info.",0.1765,0.1765,1.0,0.0,0.8571,0.4168
bc23a497f8506d57,0,34,And Lenox at the Grid,"Hey, of course, that’s what I’m here for. When would you like me to schedule those for?","Perfect! Would you like me to schedule tours for both 1879 and Lenox at the Grid? If so, let me know your availability!",0.3518,0.3333,1.0,0.0,0.7143,0.4803
5e3c455c49460aa3,0,35,Monday… I have to make a decision next week lol … running out of time ⌛️,Lol got you. Time is definitely on us. I’ll schedule today 👌🏽,"Got it, I’ll set those up for Monday. What time works best for you?",0.3858,0.2222,1.0,0.0,1.0,0.5183
467ab4aae6495002,0,36,Thank you!,Of course!   Getting your tours set up. There’s a brand new building in the Galleria you may want to see called The Briarly. 1 bed/660 sqft is at the top of budget at $1496 + 1 month free. Let me know if you’d like to add it to Monday    TheBriarly.com,You're welcome! I'll confirm the tour times and get back to you shortly.,0.1195,0.0882,0.0,0.0,0.8571,0.1836
d4a4cdd05ee877a3,0,37,"Oooh yea, I’ll like to tour there too","Got youu   Here’s your schedule for Monday:    Monday, February 17  10:15 AM – 1879 at the grid   11 AM – Lennox at the grid   12 PM – The Briarly    I’m here if you need!",Perfect! I’ll include The Briarly in your Monday schedule. I’ll confirm the times shortly.,0.3203,0.12,1.0,0.0,0.7143,0.4372
f63e26415d1e0623,0,38,"Okay, thanks!",Don’t mention it!   Good luck touring today! Let me know how everything goes,You're welcome! Looking forward to hearing your thoughts after the tours.,0.0,0.0,1.0,0.0,0.7143,0.3071
805550be911dec19,0,39,Thank you and will do,"Hey Jyesha, checking up on you. What are your thoughts?",Perfect! Looking forward to hearing your thoughts after the tours.,0.2,0.2,1.0,0.0,0.7143,0.4071
259227fc5261b2c1,0,40,Hey Ashanti! I went forward with Lenox at the Grid. I’m in the application process now.,Sounds perfect! Let me know when they get back to you with a decision on your app. I’ll be here to help how I can!,That's great to hear! Did you remember to list Ashanti/AptAmigo on your application? Let me know if you need any help with the process.,0.375,0.1923,1.0,0.0,0.7143,0.4672
3355efe719101ae6,0,41,Thank youuuu!,Of course!,Absolutely! Just keep me posted on any updates.,0.0,0.0,1.0,0.0,0.7143,0.2431
f0b2c2f83963b9bb,0,42,Hey Ashanti! Just wanted to let you know that I’m approved for Lenox at the Grid and I’m move in date it March 1st,"Hey Jyesha! That’s perfect, congratulations!!    Whenever you get a chance please send over these details and I’ll initiate your $200 rebate!    -Base rent amount   -Any special(s) you’ll be receiving   -Lease term  -Unit number",Congratulations on the approval! That's exciting. I'll need your lease start date for the rebate processing. Can you confirm that it's March 1st?,0.3218,0.2222,1.0,0.0,0.7143,0.4531
df310f43f8a80153,0,43,Will do! Thank you !,Thanks! And thank you for working with me again! Talk to you soon   Hey Jyesha! Can you send over that info when you get a chance 👆🏼I know you be busy lol,"Got it, thank you! Looking forward to your details!",0.189,0.1463,1.0,0.0,0.8571,0.4167
cd8d639a4cb5819a,0,44,Yesss thank you for the reminder     Base Rent: $1475  Specials: 6 weeks free   Lease term : 15 months   Unit number: 1268,Of course. Thank you!,"Perfect, thanks for sending that over! I'll get your rebate started. If you need anything else as you prepare for your move, just let me know!",0.1021,0.0645,0.0,0.0,0.8571,0.074
6bc51f4874c8c875,0,45,"Heyyy Ashanti! Hope all is well, just wanted to check on the rebate.","Heyy Jyesha! Thanks, I hope the same. Sorry, I didn’t explain. Your rebate comes via Zelle when Lenox pays your invoice. That’s generally 60-90 days of move in so usually a nice surprise! You’ll be getting paid the same day as me!","Hey Jyesha! Everything is good, thanks for asking. I’ll get started on your rebate now and keep you updated once it’s processed!",0.252,0.1714,1.0,0.0,0.7143,0.421
20e36662769f17e1,0,46,No worries ! Thank you!,Pleasure is all mine!,"You’re welcome! If you have any other questions or need anything else, just let me know.",0.0,0.0,1.0,0.0,1.0,0.2962
241943bc81978398,0,47,"Heyyy Ashanti, just double checking on the rebate.",Hey Jyesha! Check your account around March 31. It might’ve snuck in there without you noticing,"Hey Jyesha! Just a quick reminder that the rebate will come through Zelle about 60-90 days after your move-in date. If you have any questions in the meantime, feel free to ask!",0.2144,0.1961,0.0,0.0,0.7143,0.2045
500a5a32c6b47d84,1,0,(631) 332-9092,"Hi Danielle! Thanks for reaching out. These are in Conroe and don’t allow broken leases, bankruptcies, misdemeanors, or felonies. Is that all okay?","Got it, Danielle! Just to confirm, what budget are you looking at for your new apartment?",0.1531,0.1,1.0,0.0,1.0,0.4186
a733a329be888e14,1,1,Yes that’s fine.,Okay great. Last tour for today is at 5pm. Pretty open for the rest of the week. What day works best for you?,Great! What’s your budget for the new apartment?,0.2981,0.1875,1.0,0.0,0.8571,0.461
7da8113f1403281f,1,2,It’s 1204 for a 2 bedroom 2 bath?,"Yes, the 2 months free is credited to your account upon move in, so you can use it to prorate straight from your resident account.     Application: $50 per applicant  Admin: $150    Yes, the market rate for 2bed 2 bath unit is $1445. With the 2 month free special prorated you will be paying $1204 per month. Note, you’ll still need to qualify at the market rate of $1445 before the special is applied   Best deal in Conroe hands down. Let me know what day works best for your tour!","The application fee is typically $75, and the admin fee is around $150. The 2 bed, 2 bath you're interested in is $1204 before any specials. Would you like to schedule a tour for it?",0.3482,0.1905,1.0,0.13333333333333333,0.7143,0.4776
d9df726aab404b99,1,3,Thank you so much for the through explanation.,These are the general qualifications… Any cause for concern with these? I’m happy to help!,"You're welcome! You might not qualify if your income isn't 3x the market rent, or if there are any issues like broken leases or felonies.   Have you had a chance to look at tour times?",0.1798,0.1132,1.0,0.0,0.7143,0.3762
dde1fe066ac3ae10,1,4,My FICO isn’t.,Are you currently renting? Or a first time renter?,"Got it. For most properties, a minimum credit score of 600 is typically required. If you're below that, some options may be limited. Would you like to explore places that might have more flexible requirements?",0.1143,0.0444,0.0,0.0,0.8571,0.1217
425e909966aff3c6,1,5,I’m currently renting now.,"Okay, credit isn’t a make or break. Your full profile (income, rental history, credit, background) will be considered. About what is your credit score?","Got it. Do you have a lease ending soon, or are you looking to move at a specific time?",0.1034,0.0909,0.0,0.0,1.0,0.1998
2527baed26ca1ba3,1,6,My FICO is a 544,"Okay, our only way to know approval is to apply. Many times if all is well besides maybe credit, you may be approved with conditions and have to pay a higher deposit.","Got it. With a score below 600, you may need a cosigner or look for properties that are more flexible. Would you like me to find options that could work with your situation?",0.1724,0.0923,0.0,1.0,0.8571,0.3528
f185ac550e9af759,1,7,What’s the normal deposit?,For 2 bedrooms it’s $250,"The deposit typically starts at $350. If approved with conditions, it could be higher, up to a full month's rent.",0.1782,0.1481,1.0,0.0,0.8571,0.349
6bb981824ba4432c,1,8,Oh ok not bad.,Would you like to schedule your tour?,Got it! Are you ready to move forward with some options or have any other questions?,0.189,0.1739,0.0,0.0,1.0,0.2268
6b2cee1c6ce47908,1,9,I don’t want to have to reschedule.,"Okay, just let me know","Absolutely, I understand. Just let me know when you're ready, and we can find a time that works for you.",0.4,0.3077,1.0,0.0,0.8571,0.4502
d003a06618ce73b2,1,10,Surething… Thank you so much!,My pleasure!,"Got it, thank you! Once you have a date in mind, just let me know and we can set up the tour.",0.0,0.0,0.0,0.0,1.0,0.05
7b85db92a2cb297b,1,11,Happy 4th! What’s the name the apartments I need to fill my application please.,Happy 4th! What is your full name and email address? I’ll need to send your guest card to the property before you submit an application to be listed as your referral,"Happy 4th! The apartments are 55 Fifty. Make sure to list me, Ashanti with AptAmigo, in the referral section. Let me know if you need anything else!",0.2646,0.1695,1.0,0.0,0.8571,0.4466
8a616b28b50ac989,1,12,I just want to check out the website then.,"Thank you. The property name is Ariza Westview. You are welcome to apply, I have sent your guest card so you’re good to go.   When you come across the referral section that asks “who referred you?” Or “How did you hear about us?”     Please choose Locator/Realtor and list me (Ashanti with Nav Agency)   You’ll be getting a $200 cash rebate or free move (your choice) for doing that.     Please send me a quick update when you’ve submitted your app 👍🏼",Got it! The property name is Meridian. You can check their website for more details. Let me know if you need anything else!,0.1837,0.1509,0.0,0.0,0.8571,0.2155
0b1af047591e5e20,1,13,Awesome… Thank you so much! Have a safe night…,My pleasure. Thanks a bunch! You as well   Ariza Westview just changed their special. It’s now 6 weeks free on 12+ month leases and 2 months free on 18+ month leases.     Did you have an idea of when you’ll be applying. I want you to submit before any other changes,You're welcome! Have a safe night too!,0.1581,0.0667,0.0,0.0,0.7143,0.1725
9b7a0c0142914c38,1,14,Let me see what I can do.,"Okay, please send me a quick heads up when you’re going to submit. I want to make sure you get the best deal they have available","Got it, no worries! Just keep me posted if you need any help with the application or have questions.",0.1835,0.1739,1.0,0.0,0.8571,0.4189
3ce701b651a2b42e,1,15,Instead 12 months 2months free it’s 18 months 2 months free?,"Okay, sounds good   Yes, correct   At 12 months it’ll be 6 week free. At 18 months it’ll be 2 months free","Yes, that's correct! Now, it's 2 months free on an 18-month lease instead of the previous offer. Just let me know when you’re ready to apply!",0.325,0.2264,1.0,0.16666666666666666,0.7143,0.4798
8b41f57be464eda7,1,16,And that’s on any two bed room apartment.,Yes any 2 bedroom. With the 6 weeks free on a 12 month lease your base rent prorated amount would be $1264 per month so still a really great deal if you decided on 12 months instead of 18,"Exactly, it applies to any two-bedroom apartment. If you need help with the application or have any questions, just let me know!",0.2162,0.129,0.0,0.0,0.8571,0.2236
1373840901158444,1,17,Can we prorate one month and use one free month up front?,I believe it is a credit that you get to your account so you can use the special however you like,"Typically, the properties will require you to choose one method or the other. I can double-check with them for you if you'd like. Would you like me to do that?",0.3149,0.1887,0.0,0.0,0.7143,0.2429
5b316181233b2fc3,1,18,Do I need a link to gain access to the application?,You’d just go right on the website to apply,"Yes, you’ll need the link to start your application. If you don't have it yet, I can resend it to you.",0.2176,0.1818,1.0,0.0,0.7143,0.3931
0eeb5e50b8e6fa81,1,19,I don’t see it.,Sorry just seeing this. Did you figure it out? If not I’ll send the link,No worries! I can send you the direct link to start your application. Would you like me to do that?,0.2946,0.2222,1.0,0.0,0.7143,0.4436
4f6de1911ccca767,1,20,Yes I figured it out… Thank you so much!,Perfect. My pleasure!   Please keep me in the loop on your approval,"Perfect, I'm glad to hear that! If you need anything else or have questions during the application process, just let me know.",0.1806,0.1143,1.0,0.0,1.0,0.423
bf40935aa9cfeb6f,1,21,Ok will do!,"Hey Danielle, just wanted to check in on your progress! Did Ariza Westview get back to you yet?",Great! Let me know if you need anything else in the meantime.,0.14,0.0667,1.0,0.0,1.0,0.409
2a0e7dac44bbe883,1,22,You know of anything closer in?,"Okay, that’s what I’m here for. Yes I know plenty. Ariza is the best price on a 2/2 hands down for a new construction but I can find what you’re looking for.     What’s the max budget you want to stay under?",Got it. How about we explore options in the downtown area?,0.051,0.0351,1.0,0.0,1.0,0.3731
bf933964129faf0d,1,23,1400 a month,What area are you looking to stay?,Got it. I’ll find options under $1400 for you. Are there any specific areas you're considering?,0.1833,0.16,0.0,0.0,0.8571,0.1909
aa21208e317b0b1c,1,24,"Spring, Humble, Champions, Cypress, Jersey Village, Fallbrook Richmond, Katy or Pearland.","Okay, and you need a 2/2 or is 1 bedroom okay?","Got it! I’ll find some options in those areas under $1400. Just to confirm, how many bedrooms do you need?",0.138,0.1212,0.0,0.0,0.8571,0.179
d12f3e4524c38c2f,1,25,2/2 2/1 or 1 w/study,"Okay got it. Some units in that price range will have income restrictions. Do you make between $39,180 - $52,240 annually?",Got it! I'll find some options that fit your needs. Give me a moment to gather the best listings for you.,0.2273,0.2273,0.0,0.0,0.7143,0.2208
7cfb41ef17b7c24b,1,26,No  Problem… Yes I do.,"Okay, will you be the only resident in the household?","Got it, thanks for confirming! I'll find some options for you. When do you need to move in?",0.1617,0.1379,1.0,0.0,0.8571,0.4015
666b5748d5dc9f0b,1,27,Me and my 5 year old son.,"Okay, give me a little bit. I’ll send you some options",Thanks for that! I’ll start looking for options that fit your criteria. Do you have a preferred move-in date?,0.3311,0.1818,1.0,0.0,0.8571,0.4614
6576830c68ef6b89,1,28,Question for you… Income based apartment have a waiting list?,No not generally. Regular availability for the most part,"Yes, many income-based apartments do have waiting lists. It can vary by property, though. Would you like me to check on specific ones for you?",0.0667,0.0571,0.0,0.0,0.7143,0.1183
034c23f7cceb016d,1,29,But that’s good.,"Some may, but when I’ve seen waiting lists it’s generally on you to stay on top of the property. They only call if they go from 0% available to having a unit available and no prospects which isn’t too likely",Got it. I’ll keep that in mind while searching for options for you. Let me find some places and I’ll get back to you shortly!,0.2003,0.0857,1.0,0.0,0.7143,0.3901
5688294fc52df916,1,30,"Oh ok, I see…",Here are a few to check out that that will be under $1400 after specials    Wyldewood Gosling - 2/2 | $1500 + 1 month free = $1384/mo self prorated     Avenue M - 2/2 | $1449    Smart Living at Garden Oaks - 2/1 | $1480    Everlee - 2/2 | $1366    Eclipse - 2/2 | $1385    Only one that’s out of the areas you mentioned is Everlee which is in Tomball   Some require me to escort you for credit plus a lot of the properties require your Locator to set up your appt - so please let me take care of all tour scheduling 👍🏽    Let me know the top choices you want to tour ideally in the next 24-48 hours and I’ll set them up!,Got it. Let me find some options for you. I'll follow up shortly!,0.2319,0.0902,0.0,0.0,0.7143,0.2018
1ba801fea2ae116b,1,31,Awesome! Thank you…,Absolutely! 😌,"Got it, thank you! Did you have a chance to pick your top choices for tours?",0.0,0.0,1.0,0.0,1.0,0.2631
79d42b31e8eb5daa,1,32,Let me take a look…,"Hey Danielle, which have you decided you want to see from your list?","Got it, take your time! Let me know which ones you like, and I can set up the tours.",0.1987,0.125,0.0,0.0,1.0,0.2383
732f5b643be06d20,1,33,Which apartments have the updated specials now?,Have you looked at the options I sent you? Determining which you like we can see which are running the best specials,Got it! Here are the updated specials for the apartments I mentioned:  - Wyldewood Gosling - 2/2 | $1500 + 1 month free = $1384/mo - Avenue M - 2/2 | $1449 - Smart Living at Garden Oaks - 2/1 | $1480 - Everlee - 2/2 | $1366 - Eclipse - 2/2 | $1385  Let me know which ones you'd like to tour!,0.2876,0.1333,1.0,0.0,1.0,0.4505
61ff6643228736a1,1,34,Let me see it’s been a while…,Are you still looking for 2 bedrooms under $1500 or are you open to 1 bedrooms as well?,Got it! I can resend the options for you to review. Just give me a moment.,0.1936,0.1765,0.0,0.0,0.7143,0.2014
e9893c627a350714,1,35,Or 1 bedroom w/ study…,"Okay, and are you still looking to move in the next 2 weeks?",Got it! I’ll focus on 2 bedrooms and 1 bedrooms with a study. Let me pull up the latest options for you.,0.2365,0.1111,1.0,0.0,0.7143,0.4019
13d54273a76c5344,1,36,Likely it just depends on the specials…,Okay,Got it. I can check for the latest specials on 2 bedrooms and 1 bedrooms with a study. Would you like me to do that?,0.0,0.0,0.0,0.0,0.8571,0.0286
475416217c04e108,1,37,Depending on the special…,Good afternoon. Only Avenue M has a special which is 1 month free + only $99 app & admin and $0 deposit with approved credit,Got it! I’ll check on the latest specials for Everlee and get back to you shortly.,0.0517,0.05,1.0,0.0,0.8571,0.3542
02c7ae47a1a6a862,1,38,Dang… I missed all the good stuff😳,"I wouldn’t say that. Everlee and Smart Living garden oaks didn’t have specials even back when you were looking before. Everlee even went down to $1336, but only has one available. Two bedrooms in the $1300’s are extremely rare to begin with so it’s fortunate there’s something available at these properties","Got it, no worries. Would you like me to check for any new specials at Everlee or similar properties?",0.2294,0.1067,1.0,0.0,1.0,0.4463
c1c8f6d54bcf2f1d,1,39,Oh ok so Everlee has only one available now?,"Yes, only one at that price. It’s available 8/31. Does that work?","Yes, that's correct. Would you like to schedule a tour for Everlee?",0.2308,0.2222,0.0,0.0,0.8571,0.2427
